   2.0110625e-01	   1.6996080e-01	   2.0193440e-01	   2.2750455e-01	   2.3356849e-01	   2.2640812e-01	   2.1443319e-01	   2.0249271e-01	   1.7231417e-01	   1.4494467e-01	   1.2088394e-01	   1.0595101e-01	   9.2192829e-02	   8.3005011e-02	   7.8948855e-02	   7.2075427e-02	   5.2558959e-02	   3.6340986e-02	   2.3603559e-02	   1.4767647e-02	
   1.5792751e-01	   1.5209848e-01	   1.9043124e-01	   2.1746343e-01	   2.2471476e-01	   2.1796447e-01	   2.0828062e-01	   1.9388872e-01	   1.7134271e-01	   1.5266204e-01	   1.3429832e-01	   1.1685735e-01	   1.0017037e-01	   8.7357163e-02	   7.4206591e-02	   5.9790671e-02	   3.9126396e-02	   2.4228164e-02	   1.3961911e-02	   7.1026087e-03	
   1.5703720e-01	   1.4627874e-01	   1.7947477e-01	   2.0366299e-01	   2.0856500e-01	   1.9940263e-01	   1.9208115e-01	   1.8271571e-01	   1.6240304e-01	   1.4218539e-01	   1.2249583e-01	   1.0675657e-01	   9.3636811e-02	   8.4388316e-02	   7.9525352e-02	   7.2372854e-02	   5.4366350e-02	   3.9240224e-02	   2.7237058e-02	   1.7801106e-02	
   1.7643040e-01	   1.2414920e-01	   1.5035981e-01	   1.8328851e-01	   2.0149475e-01	   2.0693475e-01	   2.1304089e-01	   2.0962578e-01	   1.8724053e-01	   1.6413838e-01	   1.4365667e-01	   1.2580436e-01	   1.1091930e-01	   9.8532021e-02	   8.9324296e-02	   7.8251719e-02	   5.6928754e-02	   4.0686744e-02	   2.8201818e-02	   1.7203689e-02	
   1.5256369e-01	   1.3236821e-01	   1.3441163e-01	   1.2541187e-01	   1.0493529e-01	   8.5373938e-02	   7.2440743e-02	   6.6043377e-02	   5.1208564e-02	   3.9839208e-02	   3.2246113e-02	   2.6298225e-02	   2.1272600e-02	   1.7573893e-02	   1.3894498e-02	   1.1075437e-02	   8.6417198e-03	   6.5692493e-03	   5.0742030e-03	   3.7292838e-03	
   1.1892933e-01	   8.5634053e-02	   1.0476941e-01	   1.2831914e-01	   1.3880873e-01	   1.3131607e-01	   1.2438440e-01	   1.1262059e-01	   9.6869741e-02	   8.3334267e-02	   7.0582092e-02	   5.9542596e-02	   4.9533427e-02	   4.3444633e-02	   3.9066970e-02	   3.3326566e-02	   2.5511384e-02	   1.8332958e-02	   1.2802720e-02	   7.7919960e-03	
   1.4524716e-01	   8.7436795e-02	   7.3310971e-02	   5.9666991e-02	   4.4329643e-02	   3.1082094e-02	   2.2116363e-02	   1.6566277e-02	   1.1048862e-02	   7.4350238e-03	   4.8822761e-03	   3.5938621e-03	   2.5433898e-03	   1.9357800e-03	   1.4831424e-03	   1.2571812e-03	   1.0161400e-03	   9.2560904e-04	   9.0938807e-04	   6.8157911e-04	
   1.3096833e-01	   8.4134936e-02	   7.8357816e-02	   7.0945561e-02	   5.7704508e-02	   4.5529068e-02	   3.6832035e-02	   3.0196607e-02	   2.1409784e-02	   1.4589667e-02	   9.9397898e-03	   6.9135427e-03	   5.2516460e-03	   4.2284131e-03	   3.1855106e-03	   2.6949644e-03	   1.9601583e-03	   1.4483588e-03	   8.6927414e-04	   4.4512749e-04	
   1.3162363e-01	   1.0102469e-01	   9.7094178e-02	   8.9418471e-02	   7.4715555e-02	   6.0934365e-02	   5.0510943e-02	   4.4923484e-02	   3.7162372e-02	   2.8564394e-02	   2.0428956e-02	   1.4881909e-02	   1.0814667e-02	   7.9498291e-03	   6.2173009e-03	   4.3737888e-03	   2.4850965e-03	   1.2963159e-03	   6.4086914e-04	   2.4437904e-04	
   1.1588746e-01	   7.5467706e-02	   7.5589180e-02	   7.4950099e-02	   6.5487802e-02	   5.4221988e-02	   4.7944486e-02	   4.4183016e-02	   3.5468238e-02	   2.8971016e-02	   2.4155259e-02	   1.9692779e-02	   1.6495049e-02	   1.4692068e-02	   1.3046920e-02	   1.0869741e-02	   8.5752010e-03	   6.6914558e-03	   5.1797628e-03	   3.8989186e-03	
